0,1,2,3
S-OIL,오엘르주유소,1275,1199
현대오일뱅크,사등주유소,1275,1175
SK에너지,ABB조은주유소,1279,1179
SK에너지,오일플러스,1285,1185
SK에너지,청포주유소,1285,1195
SK에너지,옥포주유소,1286,1186
SK에너지,대양석유(주)거제대로주유소,1288,1188
SK에너지,아리랑주유소,1288,1188
GS칼텍스,금성주유소,1288,1203
NH-OIL,사등농협주유소,1289,1189
알뜰주유소,고려주유소,1290,1205
SK에너지,고현주유소,1290,1205
GS칼텍스,신풍주유소,1290,1205
GS칼텍스,신진주유소,1290,1215
현대오일뱅크,보성주유소,1293,1230
SK에너지,송정주유소,1298,1228
SK에너지,장승포주유소,1298,1198
NH-OIL,둔덕농협주유소,1298,1198
S-OIL,제2장진주유소,1298,1198
GS칼텍스,하청주유소,1299,1219
SK에너지,시민주유소,1299,1199
현대오일뱅크,오일뱅크 실전주유소,1299,1240
SK에너지,바다애 주유소,1305,1215
GS칼텍스,대양산업(주)대양거제주유소,1309,1219
현대오일뱅크,장진주유소,1315,1225
SK에너지,연초주유소,1318,1268
GS칼텍스,대동주유소,1318,1218
NH-OIL,장승포농협주유소,1318,1218
현대오일뱅크,금강주유소,1325,1245
GS칼텍스,학동주유소,1325,1235
GS칼텍스,오비주유소,1325,1255
S-OIL,(주)옥창주유소,1328,1228
현대오일뱅크,동백주유소,1328,1228
S-OIL,계룡산주유소,1328,1228
현대오일뱅크,새거제주유소,1328,1248
SK에너지,한내주유소,1345,1255
SK에너지,우리주유소,1348,1278
S-OIL,지세포주유소,1354,1254
현대오일뱅크,경인주유소,1354,1254
S-OIL,동남주유소,1355,1255
GS칼텍스,동부주유소,1355,1255
SK에너지,거제주유소,1355,1255
현대오일뱅크,민들레주유소,1358,1258
현대오일뱅크,일운주유소,1358,1258
SK에너지,갈곶관광주유소,1390,1290
SK에너지,경인산업(주)거가대교주유소,1395,1295
S-OIL,대금산주유소,1399,1299
SK에너지,(주)유공 해금강주유소,1399,1299
SK에너지,천오용주유소,1418,1318
GS칼텍스,삼성주유소,1465,1365
SK에너지,㈜천일에너지 거가주유소,1468,1328
SK에너지,장목주유소,1479,1379
SK에너지,SK네트웍스㈜SK도움아주주유소,1559,1459
SK에너지,견내량주유소,-,-
현대오일뱅크,거창소만주유소,1285,1180
NH-OIL,거창사과원예농협주유소,1285,1180
GS칼텍스,상동주유소,1285,1180
NH-OIL,거창농협주유소,1289,1189
알뜰(ex),㈜승진에너지거창주유소/충전소,1293,1184
알뜰(ex),(주)승진에너지 거창(대구방향)주유소,1293,1184
알뜰주유소,중동주유소,1299,1199
현대오일뱅크,주상주유소(현대),1320,1220
현대오일뱅크,덕유산주유소,1320,1220
S-OIL,원동주유소,1320,1220
S-OIL,가조주유소,1335,1235
NH-OIL,동거창농협,1335,1235
SK에너지,가북주유소,1335,1235
S-OIL,푸른주유소,1340,1250
NH-OIL,수승대농협주유소,1340,1250
SK에너지,위천중앙주유소,1340,1250
SK에너지,코끼리주유소(SK),1345,1245
SK에너지,거창북부주유소,1350,1250
GS칼텍스,국농소주유소,1350,1250
S-OIL,대동주유소,1350,1250
S-OIL,한들주유소,1350,1250
NH-OIL,신원농협주유소,1350,1250
현대오일뱅크,화성주유소,1350,1250
GS칼텍스,우리영농조합법인,1350,1250
NH-OIL,남거창농협주유소,1350,1250
자가상표,대호주유소,1359,1259
GS칼텍스,산장주유소,1360,1260
NH-OIL,북부농협 하성지소,1360,1260
현대오일뱅크,송천주유소,1369,1259
GS칼텍스,아림주유소,1370,1280
S-OIL,3교주유소,1370,1255
S-OIL,웅양주유소,1370,1270
GS칼텍스,거창고속IC주유소,1390,1290
GS칼텍스,거창주유소,1390,1295
현대오일뱅크,보성주유소(현대),1390,1290
SK에너지,지남주유소,1255,1155
S-OIL,뉴태광휴게주유소,1269,1174
GS칼텍스,터미널주유소,1277,1177
SK에너지,푸른주유소,1278,1188
SK에너지,새배둔주유소,1278,1188
알뜰주유소,봉현주유소,1278,1178
SK에너지,광신석유(주)직영고성IC주유소,1279,1189
현대오일뱅크,동백주유소,1281,1191
현대오일뱅크,삼락주유소,1283,1193
S-OIL,옥수관광휴게소,1288,1198
NH-OIL,동부농협주유소,1293,1203
알뜰(ex),고성공룡나라(하남)주유소,1298,1188
NH-OIL,고성농협주유소,1298,1208
알뜰(ex),고성공룡나라(통영)주유소/충전소,1298,1188
GS칼텍스,당동주유소,1308,1218
